iter	Passed	Remaining
709	681633	278413
710	682834	277551
711	683948	276653
712	685111	275774
713	686506	274987
714	688005	274240
715	689361	273434
716	690404	272502
717	691406	271555
718	692483	270636
719	693927	269860
720	694889	268896
721	695725	267883
722	696654	266906
723	697455	265881
724	698315	264878
725	699151	263866
726	700092	262895
727	700971	261901
728	702056	260984
729	703097	260049
730	704113	259106
731	704987	258110
732	705878	257120
733	706747	256123
734	707668	255145
735	708677	254199
736	709597	253221
737	710525	252246
738	711372	251242
739	712202	250233
740	713106	249250
741	714023	248272
742	714923	247288
743	715734	246274
744	716615	245284
745	717443	244277
746	718299	243279
747	719115	242268
748	719939	241261
749	720819	240273
750	721664	239273
751	722618	238310
752	723497	237322
753	724362	236330
754	725189	235326
755	726035	234328
756	726897	233337
757	727711	232329
758	728592	231344
759	729390	230333
760	730357	229376
761	731253	228396
762	732144	227415
763	733004	226425
764	733955	225463
765	734814	224473
766	735643	223474
767	736522	222491
768	737309	221480
769	738194	220499
770	739017	219500
771	739886	218515
772	740843	217556
773	741639	216551
774	742481	215559
775	743336	214571
776	744204	213587
777	745017	212588
778	745872	211601
779	746718	210612
780	747596	209633
781	748462	208650
782	749383	207683
783	750238	206698
784	751103	205716
785	751992	204740
786	752968	203789
787	753848	202812
788	754690	201824
789	755554	200843
790	756395	199856
791	757255	198875
792	758115	197894
793	758931	196901
794	759904	195950
795	760769	194971
796	761677	194003
797	762630	193046
798	763670	192112
799	764581	191145
800	765645	190216
801	766710	189287
802	767706	188341
803	768773	187412
804	769637	186433
805	770555	185468
806	771455	184499
807	772305	183518
808	773171	182541
809	774006	181557
810	774864	180578
811	775891	179639
812	776759	178664
813	777699	177705
814	778614	176740
815	779388	175744
816	780228	174763
817	781113	173792
818	781940	172809
819	782876	171850
820	784145	170964
821	785209	170033
822	786105	169065
823	786933	168082
824	787748	167098
825	789237	166255
826	790448	165353
827	791317	164380
828	792190	163407
829	793107	162443
830	794259	161528
831	795341	160597
832	796405	159663
833	797381	158711
834	798214	157731
835	799040	156749
836	799948	155784
837	800822	154812
838	801655	153833
839	802615	152879
840	803719	151951
841	804704	151001
842	805686	150050
843	806498	149068
844	807446	148111
845	808379	147151
846	809206	146173
847	810066	145200
848	811006	144242
849	811903	143277
850	812879	142325
851	813769	141359
852	814644	140390
853	815496	139417
854	816352	138445
855	817192	137471
856	817983	136489
857	818978	135541
858	819948	134589
859	820886	133632
860	821816	132674
861	823098	131772
862	824199	130840
863	825214	129894
864	826166	128939
865	827090	127979
866	827945	127008
867	828879	126050
868	829749	125083
869	830672	124123
870	831546	123156
871	832484	122199
872	833489	121252
873	834483	120303
874	835426	119346
875	836349	118387
876	837339	117437
877	838325	116487
878	839302	115535
879	840342	114592
880	841263	113632
881	842319	112691
882	843166	111721
883	844309	110791
884	845301	109841
885	846196	108878
886	847231	107933
887	848203	106980
888	849188	106029
889	850152	105075
890	851107	104119
891	852183	103179
892	853060	102214
893	854146	101274
894	855092	100318
895	855981	99354
896	856996	98406
897	858187	97477
898	859121	96519
899	860238	95582
900	861157	94622
901	862001	93654
902	862942	92696
903	863968	91748
904	865090	90810
905	866147	89865
906	867092	88908
907	867942	87941
908	868809	86976
909	870032	86047
910	870929	85085
911	871942	84134
912	872895	83178
913	873838	82221
914	874746	81260
915	875731	80307
916	876829	79364
917	877865	78414
918	878913	77466
919	879996	76521
920	881018	75570
921	882057	74620
922	883297	73687
923	884438	72746
924	885529	71799
925	886709	70860
926	887886	69919
927	889090	68981
928	890365	68047
929	891471	67100
930	892532	66149
931	893598	65198
932	894489	64234
933	895280	63263
934	896130	62297
935	896934	61328
936	897790	60363
937	898631	59397
938	899450	58430
939	900438	57474
940	901325	56512
941	902223	55550
942	903317	54601
943	904227	53640
944	905108	52678
945	906039	51718
946	906991	50760
947	907959	49803
948	909069	48854
949	909955	47892
950	910977	46937
951	912032	45984
952	913072	45030
953	914291	44085
954	915222	43125
955	916181	42167
956	916993	41202
957	918143	40252
958	919183	39297
959	920063	38335
960	920946	37374
961	921938	36417
962	922908	35459
963	923897	34502
964	925077	33552
965	926209	32599
966	927136	31639
967	928354	30689
968	929431	29734
969	930603	28781
970	931509	27820
971	932395	26859
972	933200	25895
973	934108	24935
974	934916	23972
975	935805	23011
976	936613	22049
977	937457	21088
978	938388	20128
979	939215	19167
980	940094	18207
981	940906	17246
982	941720	16286
983	942550	15326
984	943429	14366
985	944415	13409
986	945274	12450
987	946184	11492
988	947029	10533
989	947886	9574
990	949102	8619
991	950006	7661
992	950891	6703
993	951677	5744
994	952550	4786
995	953360	3828
996	954197	2871
997	955215	1914
998	956090	957
999	956980	0
