iter	MultiClass	Accuracy
65	-0.7058491158	0.87517934
66	-0.6996451974	0.8780487805
67	-0.6926965301	0.8737446198
68	-0.6872401668	0.87517934
69	-0.6816321717	0.87517934
70	-0.6747995734	0.87517934
71	-0.6689005165	0.87517934
72	-0.6639203608	0.87517934
73	-0.6577733627	0.87517934
74	-0.6513919697	0.8766140603
75	-0.6459486896	0.87517934
76	-0.6409599039	0.8766140603
77	-0.6356763395	0.8780487805
78	-0.629492868	0.8809182209
79	-0.6230255376	0.8809182209
80	-0.6173550191	0.8809182209
81	-0.6120991111	0.8823529412
82	-0.6077785934	0.8823529412
83	-0.6019392047	0.8823529412
84	-0.5972724149	0.8823529412
85	-0.5912769333	0.8823529412
86	-0.5863391751	0.8852223816
87	-0.5811215785	0.8852223816
88	-0.5773439178	0.8852223816
89	-0.5720361649	0.8852223816
90	-0.5676236582	0.8866571019
91	-0.5633331189	0.8895265423
92	-0.5577639238	0.8909612626
93	-0.5524138928	0.8909612626
94	-0.5477791578	0.893830703
95	-0.5423725084	0.8952654232
96	-0.5386639324	0.8967001435
97	-0.5349040512	0.8995695839
98	-0.5308548695	0.8981348637
99	-0.5268296618	0.8981348637
100	-0.5226067017	0.8995695839
101	-0.5178392465	0.8995695839
102	-0.5140743489	0.9038737446
103	-0.5102809322	0.9038737446
104	-0.5064684609	0.9038737446
105	-0.5028926964	0.9053084648
106	-0.4993423595	0.9067431851
107	-0.4955512859	0.9067431851
108	-0.4920118879	0.9067431851
109	-0.4887074146	0.9081779053
110	-0.4857350673	0.9081779053
111	-0.4823837065	0.9067431851
112	-0.4780970892	0.9081779053
113	-0.47381991	0.9096126255
114	-0.4705371519	0.9096126255
115	-0.4669844405	0.9096126255
116	-0.4636862786	0.912482066
117	-0.4602762785	0.9139167862
118	-0.4569738921	0.9139167862
119	-0.4538578561	0.9153515065
120	-0.4503429547	0.9153515065
121	-0.4479777659	0.9153515065
122	-0.4446549565	0.9167862267
123	-0.4412988409	0.9167862267
124	-0.4384836862	0.9167862267
125	-0.4354833781	0.9167862267
126	-0.4332203161	0.9153515065
127	-0.4299470237	0.9167862267
128	-0.4263339743	0.9167862267
129	-0.4239153882	0.9182209469
130	-0.4215078794	0.9182209469
131	-0.4183129987	0.9182209469
132	-0.4153659335	0.9182209469
133	-0.4127963929	0.9182209469
134	-0.4108120368	0.9196556671
135	-0.4084949943	0.9196556671
136	-0.4065587885	0.9182209469
137	-0.4046363446	0.9210903874
138	-0.4015099475	0.9210903874
139	-0.3988022	0.9210903874
140	-0.3959753562	0.9225251076
141	-0.3937533233	0.9253945481
142	-0.3912260497	0.9253945481
143	-0.3888699029	0.9239598278
144	-0.3855714559	0.9239598278
145	-0.3830307599	0.9253945481
146	-0.3806524551	0.9282639885
147	-0.3780161351	0.9282639885
148	-0.3758915961	0.9296987088
149	-0.3734251121	0.931133429
150	-0.3716002819	0.9325681492
151	-0.3694191293	0.9354375897
152	-0.36781889	0.9354375897
153	-0.3654049903	0.9383070301
154	-0.3631337788	0.9368723099
155	-0.3613221225	0.9368723099
156	-0.3590678304	0.9368723099
157	-0.3570421471	0.9383070301
158	-0.3552225706	0.9383070301
159	-0.3531178724	0.9397417504
160	-0.3512128207	0.9383070301
161	-0.3490692674	0.9383070301
162	-0.3471359044	0.9411764706
163	-0.3455741311	0.9411764706
164	-0.3431899595	0.9426111908
165	-0.340939468	0.9426111908
166	-0.3392692723	0.9454806313
167	-0.3372862831	0.944045911
168	-0.3349748507	0.9454806313
169	-0.3328383118	0.944045911
170	-0.3308984407	0.9454806313
171	-0.3289463075	0.9469153515
172	-0.3271861219	0.9483500717
173	-0.3254534943	0.9483500717
174	-0.3238711838	0.9483500717
175	-0.3221883222	0.9483500717
176	-0.321192857	0.9483500717
177	-0.3191592676	0.9483500717
178	-0.317507647	0.9483500717
179	-0.3154616931	0.9483500717
180	-0.3136082717	0.949784792
181	-0.3121452005	0.9512195122
182	-0.3107146259	0.9512195122
183	-0.3093768528	0.949784792
184	-0.3073794451	0.9526542324
185	-0.3054552497	0.9512195122
186	-0.3036908302	0.9512195122
187	-0.3022696303	0.9512195122
188	-0.300714541	0.9526542324
189	-0.2989822406	0.9540889527
190	-0.2970556392	0.9540889527
191	-0.2950592605	0.9569583931
192	-0.2938133621	0.9569583931
193	-0.2919780355	0.9569583931
194	-0.2903456724	0.9569583931
195	-0.288111871	0.9569583931
196	-0.2866874444	0.9555236729
197	-0.2853705677	0.9583931133
198	-0.2841221834	0.9583931133
199	-0.2830163827	0.9583931133
200	-0.2817388085	0.9583931133
201	-0.2804469083	0.9583931133
202	-0.2790433694	0.9583931133
203	-0.2780691168	0.9583931133
204	-0.2771635571	0.9583931133
205	-0.2760720891	0.9598278336
206	-0.2749556656	0.9598278336
207	-0.2738178152	0.9598278336
208	-0.2728069674	0.9598278336
209	-0.2712606687	0.9598278336
210	-0.2698315527	0.9598278336
211	-0.2685011977	0.9598278336
212	-0.2671966674	0.9598278336
213	-0.2658799787	0.9598278336
214	-0.2643334997	0.9598278336
215	-0.2629401837	0.9598278336
216	-0.2616349639	0.9598278336
217	-0.2604065844	0.9598278336
218	-0.2591465018	0.9598278336
219	-0.2579303807	0.9598278336
220	-0.2571179934	0.9598278336
221	-0.2558626256	0.9598278336
222	-0.2542519927	0.9598278336
223	-0.2527336807	0.9598278336
224	-0.2515043988	0.9598278336
225	-0.250321922	0.9598278336
226	-0.2492054023	0.9598278336
227	-0.2477747834	0.9598278336
228	-0.2466199802	0.9598278336
229	-0.2455938409	0.9598278336
230	-0.2442053396	0.9598278336
231	-0.242508144	0.9598278336
232	-0.2411769989	0.962697274
233	-0.2398274004	0.962697274
234	-0.238320903	0.962697274
235	-0.2369567716	0.962697274
236	-0.2359570666	0.962697274
237	-0.2350445877	0.962697274
238	-0.2339244492	0.962697274
239	-0.2324241351	0.962697274
240	-0.231125185	0.9641319943
241	-0.2298458523	0.9641319943
242	-0.2283701808	0.9641319943
243	-0.2273547885	0.9641319943
244	-0.22621111	0.9641319943
245	-0.2253229019	0.9655667145
246	-0.224258332	0.9655667145
247	-0.2231359631	0.9655667145
248	-0.222208397	0.9655667145
249	-0.2211448898	0.9655667145
250	-0.2201419639	0.9655667145
251	-0.2189538615	0.9670014347
252	-0.2179510233	0.9670014347
253	-0.2167409483	0.9670014347
254	-0.215668632	0.9670014347
